,pclass,survived,sex,age,sibsp,parch,ticket,cabin,embarked,boat,body
73,1,1,female,22.0,0,0,113781,,S,11,
74,1,0,male,0.0,0,0,110465,A14,S,,
75,1,0,male,47.0,0,0,5727,E58,S,,
76,1,1,female,39.0,1,1,PC 17756,E49,C,14,
77,1,0,male,37.0,1,1,PC 17756,E52,C,,
78,1,1,female,64.0,0,2,PC 17756,E45,C,14,
79,1,1,female,55.0,2,0,11770,C101,S,2,
80,1,0,male,0.0,0,0,113791,,S,,
81,1,0,male,70.0,1,1,WE/P 5735,B22,S,,269.0
82,1,1,female,36.0,0,2,WE/P 5735,B22,S,7,
83,1,1,female,64.0,1,1,112901,B26,S,7,
84,1,0,male,39.0,1,0,PC 17599,C85,C,,
85,1,1,female,38.0,1,0,PC 17599,C85,C,4,
86,1,1,male,51.0,0,0,113055,E17,S,5 9,
87,1,1,male,27.0,0,0,113804,,S,3,
88,1,1,female,33.0,0,0,113781,,S,8,
89,1,0,male,31.0,1,0,F.C. 12750,B71,S,,
90,1,1,female,27.0,1,2,F.C. 12750,B71,S,3,
91,1,1,male,31.0,1,0,17474,B20,S,3,
92,1,1,female,17.0,1,0,17474,B20,S,3,
93,1,1,male,53.0,1,1,33638,A34,S,13,
94,1,1,male,4.0,0,2,33638,A34,S,5,
95,1,1,female,54.0,1,1,33638,A34,S,5,
96,1,0,male,50.0,1,0,PC 17761,C86,C,,62.0
97,1,1,female,27.0,1,1,PC 17558,B58 B60,C,6,
98,1,1,female,48.0,1,0,PC 17761,C86,C,2,
99,1,1,female,48.0,1,0,11755,A16,C,1,
100,1,1,male,49.0,1,0,PC 17485,A20,C,1,
101,1,0,male,39.0,0,0,PC 17580,A18,C,,133.0
102,1,1,female,23.0,0,1,11767,C54,C,7,
103,1,1,female,38.0,0,0,PC 17757,C45,C,4,
104,1,1,female,54.0,1,0,36947,D20,C,4,
105,1,0,female,36.0,0,0,PC 17531,A29,C,,
106,1,0,male,0.0,0,0,PC 17483,C95,S,,
107,1,1,female,0.0,0,0,PC 17598,,S,7,
108,1,1,female,0.0,0,0,17421,,C,4,
109,1,1,male,36.0,0,0,PC 17474,E25,S,5,
110,1,0,male,30.0,0,0,113051,C111,C,,
111,1,1,female,24.0,3,2,19950,C23 C25 C27,S,10,
112,1,1,female,28.0,3,2,19950,C23 C25 C27,S,10,
113,1,1,female,23.0,3,2,19950,C23 C25 C27,S,10,
114,1,0,male,19.0,3,2,19950,C23 C25 C27,S,,
115,1,0,male,64.0,1,4,19950,C23 C25 C27,S,,
116,1,1,female,60.0,1,4,19950,C23 C25 C27,S,10,
117,1,1,female,30.0,0,0,PC 17485,E36,C,1,
118,1,0,male,0.0,0,0,113778,D34,S,,
119,1,1,male,50.0,2,0,PC 17611,,S,5,
120,1,1,male,43.0,1,0,17765,D40,C,5,
121,1,1,female,0.0,1,0,PC 17611,,S,5,
122,1,1,female,22.0,0,2,13568,B39,C,5,
123,1,1,male,60.0,1,1,13567,B41,C,5,
124,1,1,female,48.0,1,1,13567,B41,C,5,
125,1,0,male,0.0,0,0,112058,B102,S,,
126,1,0,male,37.0,1,0,113803,C123,S,,
127,1,1,female,35.0,1,0,113803,C123,S,D,
128,1,0,male,47.0,0,0,111320,E63,S,,275.0
129,1,1,female,35.0,0,0,113503,C130,C,4,
130,1,1,female,22.0,0,1,112378,,C,7,
131,1,1,female,45.0,0,1,112378,,C,7,
132,1,0,male,24.0,0,0,PC 17593,B86,C,,
133,1,1,male,49.0,1,0,17453,C92,C,5,
134,1,1,female,0.0,1,0,17453,C92,C,5,
135,1,0,male,71.0,0,0,PC 17754,A5,C,,
136,1,1,male,53.0,0,0,113780,C51,C,B,
137,1,1,female,19.0,0,0,112053,B42,S,3,
138,1,0,male,38.0,0,1,PC 17582,C91,S,,147.0
139,1,1,female,58.0,0,1,PC 17582,C125,S,3,
140,1,1,male,23.0,0,1,PC 17759,D10 D12,C,7,
141,1,1,female,45.0,0,1,PC 17759,D10 D12,C,7,
142,1,0,male,46.0,0,0,PC 17593,B82 B84,C,,
143,1,1,male,25.0,1,0,11765,E50,C,5,
144,1,1,female,25.0,1,0,11765,E50,C,5,
145,1,1,male,48.0,1,0,PC 17572,D33,C,3,
146,1,1,female,49.0,1,0,PC 17572,D33,C,3,
147,1,0,male,0.0,0,0,113796,,S,,
148,1,0,male,45.0,1,0,36973,C83,S,,
149,1,1,female,35.0,1,0,36973,C83,S,D,
150,1,0,male,40.0,0,0,112059,B94,S,,110.0
151,1,1,male,27.0,0,0,PC 17572,D49,C,3,
152,1,1,male,0.0,0,0,16988,D45,S,3,
153,1,1,female,24.0,0,0,11767,C54,C,7,
154,1,0,male,55.0,1,1,12749,B69,S,,307.0
155,1,1,female,52.0,1,1,12749,B69,S,3,
156,1,0,male,42.0,0,0,113038,B11,S,,
157,1,0,male,0.0,0,0,17463,E46,S,,
158,1,0,male,55.0,0,0,680,C39,S,,
159,1,1,female,16.0,0,1,111361,B18,C,4,
160,1,1,female,44.0,0,1,111361,B18,C,4,
161,1,1,female,51.0,1,0,13502,D11,S,10,
162,1,0,male,42.0,1,0,113789,,S,,38.0
163,1,1,female,35.0,1,0,113789,,S,8,
164,1,1,male,35.0,0,0,111426,,C,15,
165,1,1,male,38.0,1,0,19943,C93,S,D,
166,1,0,male,0.0,0,0,PC 17600,,C,14,
167,1,1,female,35.0,1,0,19943,C93,S,D,
168,1,1,female,38.0,0,0,113572,B28,,6,
169,1,0,female,50.0,0,0,PC 17595,C49,C,,
170,1,1,male,49.0,0,0,112058,B52 B54 B56,S,C,
171,1,0,male,46.0,0,0,694,,S,,80.0
172,1,0,male,50.0,0,0,113044,E60,S,,
173,1,0,male,32.5,0,0,113503,C132,C,,45.0
174,1,0,male,58.0,0,0,11771,B37,C,,258.0
175,1,0,male,41.0,1,0,17464,D21,S,,
176,1,1,female,0.0,1,0,17464,D21,S,8,
177,1,1,male,42.0,1,0,11753,D19,S,5,
178,1,1,female,45.0,1,0,11753,D19,S,5,
179,1,0,male,0.0,0,0,113028,C124,S,,
180,1,1,female,39.0,0,0,24160,,S,2,
181,1,1,female,49.0,0,0,17465,D17,S,8,
182,1,1,female,30.0,0,0,PC 17761,,C,2,
183,1,1,male,35.0,0,0,PC 17755,B101,C,3,
184,1,0,male,0.0,0,0,PC 17612,,C,,
185,1,0,male,42.0,0,0,17475,,S,,
186,1,1,female,55.0,0,0,112377,,C,6,
187,1,1,female,16.0,0,1,PC 17592,D28,S,9,
188,1,1,female,51.0,0,1,PC 17592,D28,S,9,
189,1,0,male,29.0,0,0,113501,D6,S,,126.0
190,1,1,female,21.0,0,0,13502,D9,S,10,
191,1,0,male,30.0,0,0,113801,,S,,
192,1,1,female,58.0,0,0,PC 17569,B80,C,,
193,1,1,female,15.0,0,1,24160,B5,S,2,
194,1,0,male,30.0,0,0,110469,C106,S,,
195,1,1,female,16.0,0,0,110152,B79,S,8,
196,1,1,male,0.0,0,0,11774,C47,C,7,
197,1,0,male,19.0,1,0,113773,D30,S,,
198,1,1,female,18.0,1,0,113773,D30,S,10,
199,1,1,female,24.0,0,0,PC 17482,C90,C,6,
200,1,0,male,46.0,0,0,13050,C6,C,,292.0
201,1,0,male,54.0,0,0,17463,E46,S,,175.0
202,1,1,male,36.0,0,0,PC 17473,E25,S,7,
203,1,0,male,28.0,1,0,PC 17604,,C,,
204,1,1,female,0.0,1,0,PC 17604,,C,6,
205,1,0,male,65.0,0,0,13509,E38,S,,249.0
206,1,0,male,44.0,2,0,19928,C78,Q,,230.0
207,1,1,female,33.0,1,0,19928,C78,Q,14,
208,1,1,female,37.0,1,0,19928,C78,Q,14,
209,1,1,male,30.0,1,0,13236,C78,C,11,
210,1,0,male,55.0,0,0,113787,C30,S,,
211,1,0,male,47.0,0,0,113796,,S,,
212,1,0,male,37.0,0,1,PC 17596,C118,C,,
213,1,1,female,31.0,1,0,35273,D36,C,6,
214,1,1,female,23.0,1,0,35273,D36,C,6,
215,1,0,male,58.0,0,2,35273,D48,C,,122.0
216,1,1,female,19.0,0,2,11752,D47,S,5,
217,1,0,male,64.0,0,0,693,,S,,263.0
218,1,1,female,39.0,0,0,PC 17758,C105,C,8,
219,1,1,male,0.0,0,0,F.C. 12998,,C,7,
220,1,1,female,22.0,0,1,113509,B36,C,5,
221,1,0,male,65.0,0,1,113509,B30,C,,234.0
222,1,0,male,28.5,0,0,PC 17562,D43,C,,189.0
223,1,0,male,0.0,0,0,112052,,S,,
224,1,0,male,45.5,0,0,113043,C124,S,,166.0
225,1,0,male,23.0,0,0,12749,B24,S,,
226,1,0,male,29.0,1,0,113776,C2,S,,
227,1,1,female,22.0,1,0,113776,C2,S,8,
228,1,0,male,18.0,1,0,PC 17758,C65,C,,
229,1,1,female,17.0,1,0,PC 17758,C65,C,8,
230,1,1,female,30.0,0,0,12749,B73,S,3,
231,1,1,male,52.0,0,0,113786,C104,S,6,
232,1,0,male,47.0,0,0,110465,C110,S,,207.0
233,1,1,female,56.0,0,1,11767,C50,C,7,
234,1,0,male,38.0,0,0,19972,,S,,
235,1,1,male,0.0,0,0,PC 17607,,S,A,
236,1,0,male,22.0,0,0,PC 17760,,C,,232.0
237,1,0,male,0.0,0,0,PC 17757,,C,,
238,1,1,female,43.0,0,1,24160,B3,S,2,
239,1,0,male,31.0,0,0,PC 17590,A24,S,,
240,1,1,male,45.0,0,0,111428,,S,9,
241,1,0,male,0.0,0,0,113767,A32,S,,
242,1,1,female,33.0,0,0,PC 17613,A11,C,11,
243,1,0,male,46.0,0,0,PC 17585,,C,,16.0
244,1,0,male,36.0,0,0,13049,A10,C,,
245,1,1,female,33.0,0,0,110152,B77,S,8,
246,1,0,male,55.0,1,0,PC 17603,,C,,
247,1,1,female,54.0,1,0,PC 17603,,C,6,
248,1,0,male,33.0,0,0,113790,,S,,109.0
249,1,1,male,13.0,2,2,PC 17608,B57 B59 B63 B66,C,4,
250,1,1,female,18.0,2,2,PC 17608,B57 B59 B63 B66,C,4,
251,1,1,female,21.0,2,2,PC 17608,B57 B59 B63 B66,C,4,
252,1,0,male,61.0,1,3,PC 17608,B57 B59 B63 B66,C,,
253,1,1,female,48.0,1,3,PC 17608,B57 B59 B63 B66,C,4,
254,1,1,male,0.0,0,0,19988,C106,S,3,
255,1,1,female,24.0,0,0,PC 17477,B35,C,9,
256,1,1,male,0.0,0,0,111163,,S,1,
257,1,1,female,35.0,1,0,13236,C28,C,11,
258,1,1,female,30.0,0,0,113798,,C,4,
259,1,1,male,34.0,0,0,113794,,S,7,
260,1,1,female,40.0,0,0,PC 17582,C125,S,3,
261,1,1,male,35.0,0,0,PC 17475,E24,S,5,
262,1,0,male,50.0,1,0,13507,E44,S,,
263,1,1,female,39.0,1,0,13507,E44,S,11,
264,1,1,male,56.0,0,0,13213,A26,C,3,
265,1,1,male,28.0,0,0,113788,A6,S,7,
266,1,0,male,56.0,0,0,113792,,S,,
267,1,0,male,56.0,0,0,17764,A7,C,,
268,1,0,male,24.0,1,0,13695,C31,S,,
269,1,0,male,0.0,0,0,113056,A19,S,,
270,1,1,female,18.0,1,0,13695,C31,S,6,
271,1,1,male,24.0,1,0,21228,B45,S,7,
272,1,1,female,23.0,1,0,21228,B45,S,7,
273,1,1,male,6.0,0,2,16966,E34,C,3,
274,1,1,male,45.0,1,1,16966,E34,C,3,
275,1,1,female,40.0,1,1,16966,E34,C,3,
276,1,0,male,57.0,1,0,PC 17569,B78,C,,
277,1,1,female,0.0,1,0,PC 17569,B78,C,6,
278,1,1,male,32.0,0,0,13214,B50,C,3,
279,1,0,male,62.0,0,0,113514,C87,S,,
280,1,1,male,54.0,1,0,11778,C116,C,1,
281,1,1,female,43.0,1,0,11778,C116,C,5,
282,1,1,female,52.0,1,0,36947,D20,C,4,
283,1,0,male,0.0,0,0,PC 17605,,C,,
284,1,1,female,62.0,0,0,113572,B28,,6,
285,1,0,male,67.0,1,0,PC 17483,C55 C57,S,,96.0
286,1,0,female,63.0,1,0,PC 17483,C55 C57,S,,
287,1,0,male,61.0,0,0,36963,D50,S,,46.0
288,1,1,female,48.0,0,0,17466,D17,S,8,
289,1,1,female,18.0,0,2,110413,E68,S,8,
290,1,0,male,52.0,1,1,110413,E67,S,,
291,1,1,female,39.0,1,1,110413,E67,S,8,
292,1,1,male,48.0,1,0,19996,C126,S,5 7,
293,1,1,female,0.0,1,0,19996,C126,S,5 7,
294,1,0,male,49.0,1,1,17421,C68,C,,
295,1,1,male,17.0,0,2,17421,C70,C,B,
296,1,1,female,39.0,1,1,17421,C68,C,4,
297,1,1,female,0.0,0,0,PC 17585,,C,D,
298,1,1,male,31.0,0,0,2543,C53,C,7,
299,1,0,male,40.0,0,0,PC 17601,,C,,
300,1,0,male,61.0,0,0,111240,B19,S,,245.0
301,1,0,male,47.0,0,0,36967,D46,S,,
302,1,1,female,35.0,0,0,PC 17755,,C,3,
303,1,0,male,64.0,1,0,110813,D37,C,,
304,1,1,female,60.0,1,0,110813,D37,C,5,
305,1,0,male,60.0,0,0,113800,,S,,
306,1,0,male,54.0,0,1,35281,D26,S,,
307,1,0,male,21.0,0,1,35281,D26,S,,169.0
308,1,1,female,55.0,0,0,PC 17760,C32,C,8,
309,1,1,female,31.0,0,2,36928,C7,S,8,
310,1,0,male,57.0,1,1,36928,,S,,
311,1,1,female,45.0,1,1,36928,,S,8,
312,1,0,male,50.0,1,1,113503,C80,C,,
313,1,0,male,27.0,0,2,113503,C82,C,,
314,1,1,female,50.0,1,1,113503,C80,C,4,
315,1,1,female,21.0,0,0,113795,,S,8 10,
316,1,0,male,51.0,0,1,PC 17597,,C,,
317,1,1,male,21.0,0,1,PC 17597,,C,A,
318,1,0,male,0.0,0,0,113510,C128,S,,
319,1,1,female,31.0,0,0,16966,E39 E41,C,3,
320,1,1,male,0.0,0,0,19947,C52,S,D,
321,1,0,male,62.0,0,0,113807,,S,,
322,1,1,female,36.0,0,0,PC 17760,C32,C,8,
323,2,0,male,30.0,1,0,P/PP 3381,,C,,
324,2,1,female,28.0,1,0,P/PP 3381,,C,10,
325,2,0,male,30.0,0,0,248744,,S,,
326,2,0,male,18.0,0,0,231945,,S,,
327,2,0,male,25.0,0,0,C.A. 34050,,S,,
328,2,0,male,34.0,1,0,226875,,S,,
329,2,1,female,36.0,1,0,226875,,S,11,
330,2,0,male,57.0,0,0,244346,,S,,
331,2,0,male,18.0,0,0,29108,,S,,
332,2,0,male,23.0,0,0,C.A. 31030,,S,,
333,2,1,female,36.0,0,0,28551,D,S,10,
334,2,0,male,28.0,0,0,C.A./SOTON 34068,,S,,
335,2,0,male,51.0,0,0,S.O.P. 1166,,S,,174.0
336,2,1,male,32.0,1,0,2908,,S,13,
337,2,1,female,19.0,1,0,2908,,S,13,
338,2,0,male,28.0,0,0,244358,,S,,
339,2,1,male,1.0,2,1,230136,F4,S,11,
340,2,1,female,4.0,2,1,230136,F4,S,11,
341,2,1,female,12.0,2,1,230136,F4,S,13,
342,2,1,female,36.0,0,3,230136,F4,S,11,
343,2,1,male,34.0,0,0,248698,D56,S,13,
344,2,1,female,19.0,0,0,28404,,S,12,
345,2,0,male,23.0,0,0,28425,,S,,
346,2,0,male,26.0,0,0,237670,,S,,
347,2,0,male,42.0,0,0,211535,,S,,
348,2,0,male,27.0,0,0,220367,,S,,
349,2,1,female,24.0,0,0,248733,F33,S,11,
350,2,1,female,15.0,0,2,29750,,S,14,
351,2,0,male,60.0,1,1,29750,,S,,
352,2,1,female,40.0,1,1,29750,,S,14,
353,2,1,female,20.0,1,0,236853,,S,12,
354,2,0,male,25.0,1,0,236853,,S,,
355,2,1,female,36.0,0,0,27849,,S,9,
356,2,0,male,25.0,0,0,234686,,S,,97.0
357,2,0,male,42.0,0,0,244310,,S,,
358,2,1,female,42.0,0,0,236852,,S,,
359,2,1,male,0.8333,0,2,248738,,S,13,
360,2,1,male,26.0,1,1,248738,,S,13,
361,2,1,female,22.0,1,1,248738,,S,13,
362,2,1,female,35.0,0,0,F.C.C. 13528,,S,14,
363,2,0,male,0.0,0,0,239853,,S,,
364,2,0,male,19.0,0,0,28424,,S,,18.0
365,2,0,female,44.0,1,0,244252,,S,,
366,2,0,male,54.0,1,0,244252,,S,,
367,2,0,male,52.0,0,0,248731,,S,,130.0
368,2,0,male,37.0,1,0,SC/AH 29037,,S,,17.0
369,2,0,female,29.0,1,0,SC/AH 29037,,S,,
370,2,1,female,25.0,1,1,237789,,S,12,
371,2,1,female,45.0,0,2,237789,,S,12,
372,2,0,male,29.0,1,0,2003,,S,,
373,2,1,female,28.0,1,0,2003,,S,14,
374,2,0,male,29.0,0,0,W./C. 14263,,S,,
375,2,0,male,28.0,0,0,248740,,S,,
376,2,1,male,24.0,0,0,28034,,S,9,
377,2,1,female,8.0,0,2,C.A. 31921,,S,14,
378,2,0,male,31.0,1,1,C.A. 31921,,S,,
379,2,1,female,31.0,1,1,C.A. 31921,,S,14,
380,2,1,female,22.0,0,0,W./C. 14266,F33,S,14,
381,2,0,female,30.0,0,0,237249,,S,,
382,2,0,female,0.0,0,0,F.C.C. 13534,,S,,
383,2,0,male,21.0,0,0,29107,,S,,
384,2,0,male,0.0,0,0,239853,,S,,
385,2,1,male,8.0,1,1,C.A. 33112,,S,14,
386,2,0,male,18.0,0,0,S.O.C. 14879,,S,,
387,2,1,female,48.0,0,2,C.A. 33112,,S,14,
388,2,1,female,28.0,0,0,237668,,S,13,
389,2,0,male,32.0,0,0,244360,,S,,
390,2,0,male,17.0,0,0,S.O.C. 14879,,S,,
391,2,0,male,29.0,1,0,SC/PARIS 2167,,C,,295.0
392,2,1,female,24.0,1,0,SC/PARIS 2167,,C,12,
393,2,0,male,25.0,0,0,C.A. 31029,,S,,
394,2,0,male,18.0,0,0,S.O.C. 14879,,S,,
395,2,1,female,18.0,0,1,231919,,S,,
396,2,1,female,34.0,0,1,231919,,S,,
397,2,0,male,54.0,0,0,28403,,S,,
398,2,1,male,8.0,0,2,28220,,S,10,
399,2,0,male,42.0,1,1,28220,,S,,
400,2,1,female,34.0,1,1,28220,,S,10,
401,2,1,female,27.0,1,0,SC/PARIS 2149,,C,12,
402,2,1,female,30.0,1,0,SC/PARIS 2148,,C,12,
403,2,0,male,23.0,0,0,29751,,S,,
404,2,0,male,21.0,0,0,236854,,S,,
405,2,0,male,18.0,0,0,236171,,S,,
406,2,0,male,40.0,1,0,2926,,S,,286.0
407,2,1,female,29.0,1,0,2926,,S,16,
408,2,0,male,18.0,0,0,C.A. 15185,,S,,
409,2,0,male,36.0,0,0,229236,,S,,236.0
410,2,0,male,0.0,0,0,239854,,S,,
411,2,0,female,38.0,0,0,237671,,S,,
412,2,0,male,35.0,0,0,239865,,S,,322.0
413,2,0,male,38.0,1,0,28664,,S,,
414,2,0,male,34.0,1,0,28664,,S,,
415,2,1,female,34.0,0,0,243880,,S,12,
416,2,0,male,16.0,0,0,239865,,S,,
417,2,0,male,26.0,0,0,31028,,S,,
418,2,0,male,47.0,0,0,C.A. 30769,,S,,
419,2,0,male,21.0,1,0,28133,,S,,
420,2,0,male,21.0,1,0,28134,,S,,
421,2,0,male,24.0,0,0,248726,,S,,297.0
422,2,0,male,24.0,0,0,233866,,S,,155.0
423,2,0,male,34.0,0,0,12233,,S,,
424,2,0,male,30.0,0,0,250646,,S,,305.0
425,2,0,male,52.0,0,0,250647,,S,,19.0
426,2,0,male,30.0,0,0,250653,,S,,75.0
427,2,1,male,0.6667,1,1,250649,,S,4,
428,2,1,female,24.0,0,2,250649,,S,4,
429,2,0,male,44.0,0,0,248746,,S,,35.0
430,2,1,female,6.0,0,1,248727,,S,11,
431,2,0,male,28.0,0,1,248727,,S,,
432,2,1,male,62.0,0,0,S.W./PP 752,,S,15,
433,2,0,male,30.0,0,0,W/C 14208,,S,,
434,2,1,female,7.0,0,2,F.C.C. 13529,,S,14,
435,2,0,male,43.0,1,1,F.C.C. 13529,,S,,
436,2,1,female,45.0,1,1,F.C.C. 13529,,S,14,
437,2,1,female,24.0,1,2,220845,,S,9,
438,2,1,female,24.0,1,2,220845,,S,9,
439,2,0,male,49.0,1,2,220845,,S,,
440,2,1,female,48.0,1,2,220845,,S,9,
441,2,1,female,55.0,0,0,248706,,S,13,
442,2,0,male,24.0,2,0,S.O.C. 14879,,S,,
443,2,0,male,32.0,2,0,S.O.C. 14879,,S,,256.0
444,2,0,male,21.0,2,0,S.O.C. 14879,,S,,
445,2,0,female,18.0,1,1,250650,,S,,
446,2,1,female,20.0,2,1,29105,,S,4,
447,2,0,male,23.0,2,1,29104,,S,,
448,2,0,male,36.0,0,0,242963,,S,,
449,2,1,female,54.0,1,3,29105,,S,4,
450,2,0,male,50.0,0,0,250643,,S,,149.0
451,2,0,male,44.0,1,0,26707,,S,,
452,2,1,female,29.0,1,0,26707,,S,10,
453,2,0,male,21.0,0,0,S.O.C. 14879,,S,,
454,2,1,male,42.0,0,0,237798,,S,10,
455,2,0,male,63.0,1,0,24065,,S,,
456,2,0,female,60.0,1,0,24065,,S,,
457,2,0,male,33.0,0,0,SCO/W 1585,,S,,
458,2,1,female,17.0,0,0,SO/C 14885,,S,,
459,2,0,male,42.0,1,0,243847,,S,,
460,2,1,female,24.0,2,1,243847,,S,12,
461,2,0,male,47.0,0,0,237565,,S,,
462,2,0,male,24.0,2,0,C.A. 31029,,S,,
463,2,0,male,22.0,2,0,C.A. 31029,,S,,
464,2,0,male,32.0,0,0,C.A. 33111,,S,,
465,2,1,female,23.0,0,0,SC/AH Basle 541,D,C,11,
466,2,0,male,34.0,1,0,244367,,S,,283.0
467,2,1,female,24.0,1,0,244367,,S,12,
468,2,0,female,22.0,0,0,F.C.C. 13534,,S,,
469,2,1,female,0.0,0,0,226593,E101,Q,10,
470,2,0,male,35.0,0,0,233734,,Q,,
471,2,1,female,45.0,0,0,223596,,S,9,
472,2,0,male,57.0,0,0,219533,,Q,,
473,2,0,male,0.0,0,0,239855,,S,,
474,2,0,male,31.0,0,0,C.A. 18723,,S,,165.0
475,2,0,female,26.0,1,1,250651,,S,,
476,2,0,male,30.0,1,1,250651,,S,,
477,2,0,male,0.0,0,0,240261,,Q,,
478,2,1,female,1.0,1,2,SC/Paris 2123,,C,14,
479,2,1,female,3.0,1,2,SC/Paris 2123,,C,14,
480,2,0,male,25.0,1,2,SC/Paris 2123,,C,,
481,2,1,female,22.0,1,2,SC/Paris 2123,,C,14,
482,2,1,female,17.0,0,0,SC 1748,,C,12,
483,2,1,female,0.0,0,0,248727,,S,11,
484,2,1,female,34.0,0,0,C.A. 34260,F33,S,14,
485,2,0,male,36.0,0,0,SC/Paris 2163,D,C,,
486,2,0,male,24.0,0,0,C.A. 29566,,S,,108.0
487,2,0,male,61.0,0,0,235509,,Q,,
488,2,0,male,50.0,1,0,SC/AH 3085,,S,,121.0
489,2,1,female,42.0,1,0,SC/AH 3085,,S,,
490,2,0,female,57.0,0,0,S.O./P.P. 3,E77,S,,52.0
491,2,0,male,0.0,0,0,237735,D,C,,
492,2,1,male,1.0,0,2,S.C./PARIS 2079,,C,10,
493,2,0,male,31.0,1,1,S.C./PARIS 2079,,C,,
494,2,1,female,24.0,1,1,S.C./PARIS 2079,,C,10,
495,2,0,male,0.0,0,0,SC/A.3 2861,,C,,
496,2,0,male,30.0,0,0,28228,,S,,
497,2,0,male,40.0,0,0,239059,,S,,
498,2,0,male,32.0,0,0,237216,,S,,209.0
499,2,0,male,30.0,0,0,233478,,S,,
500,2,0,male,46.0,0,0,28403,,S,,
501,2,1,female,13.0,0,1,250644,,S,14,
502,2,1,female,41.0,0,1,250644,,S,14,
